Frame ID,Camera 0 Value,Camera 1 Value,Difference (Cam2 - Cam1)
frame_000000,32767,32767,0
frame_000002,32767,32767,0
frame_000003,32767,32767,0
frame_000004,32767,32767,0
frame_000005,32767,32767,0
frame_000006,32767,32767,0
frame_000007,32767,32767,0
frame_000008,32767,32767,0
frame_000009,32767,32767,0
frame_000010,32767,32767,0
frame_000011,831,839,8
frame_000012,863,854,-9
frame_000013,864,871,7
frame_000014,883,893,10
frame_000015,898,905,7
frame_000016,915,923,8
frame_000017,932,938,6
frame_000018,949,955,6
frame_000019,967,972,5
frame_000020,983,991,8
frame_000021,1005,1006,1
frame_000022,1017,2047,1030
frame_000023,3083,3101,18
frame_000024,3098,3105,7
frame_000025,3115,3123,8
frame_000026,3132,3139,7
frame_000027,3151,3155,4
frame_000028,3166,3172,6
frame_000029,3183,3191,8
frame_000030,3245,3206,-39
frame_000031,3217,3223,6
frame_000032,3235,3245,10
frame_000033,3251,3257,6
frame_000034,3267,3275,8
frame_000035,3284,3291,7
frame_000036,3303,3307,4
frame_000037,3318,3324,6
frame_000038,3335,3343,8
frame_000039,3356,3358,2
frame_000040,3369,3391,22
frame_000041,3387,3428,41
frame_000042,3403,3411,8
frame_000043,3417,3427,10
frame_000044,3437,3443,6
frame_000045,3455,3459,4
frame_000046,3470,3477,7
frame_000047,3487,3495,8
frame_000048,3504,3510,6
frame_000049,3523,3527,4
frame_000050,3538,3548,10
frame_000051,3555,3563,8
frame_000052,3573,3579,6
frame_000053,3589,3595,6
frame_000054,3607,3609,2
frame_000055,3623,3629,6
frame_000056,3639,3647,8
frame_000057,3656,3662,6
